,,Frequency_Substation_01,Frequency_Substation_02,Frequency_Substation_03,Frequency_Substation_04,Frequency_Substation_05,Frequency_Substation_06,Frequency_Substation_07,Frequency_Substation_08,Frequency_Substation_09,Frequency_Substation_10
0,Frequency_Substation_01,,,,,,,,,,
0,Frequency_Substation_02,,,,,,,,,,
0,Frequency_Substation_03,,,,,,,,,,
0,Frequency_Substation_04,,,,,,,,,,
0,Frequency_Substation_05,,,,,,,,,,
0,Frequency_Substation_06,,,,,,,,,,
0,Frequency_Substation_07,,,,,,,,,,
0,Frequency_Substation_08,,,,,,,,,,
0,Frequency_Substation_09,,,,,,,,,,
0,Frequency_Substation_10,,,,,,,,,,
1,Frequency_Substation_01,,,,,,,,,,
1,Frequency_Substation_02,,,,,,,,,,
1,Frequency_Substation_03,,,,,,,,,,
1,Frequency_Substation_04,,,,,,,,,,
1,Frequency_Substation_05,,,,,,,,,,
1,Frequency_Substation_06,,,,,,,,,,
1,Frequency_Substation_07,,,,,,,,,,
1,Frequency_Substation_08,,,,,,,,,,
1,Frequency_Substation_09,,,,,,,,,,
1,Frequency_Substation_10,,,,,,,,,,
2,Frequency_Substation_01,,,,,,,,,,
2,Frequency_Substation_02,,,,,,,,,,
2,Frequency_Substation_03,,,,,,,,,,
2,Frequency_Substation_04,,,,,,,,,,
2,Frequency_Substation_05,,,,,,,,,,
2,Frequency_Substation_06,,,,,,,,,,
2,Frequency_Substation_07,,,,,,,,,,
2,Frequency_Substation_08,,,,,,,,,,
2,Frequency_Substation_09,,,,,,,,,,
2,Frequency_Substation_10,,,,,,,,,,
3,Frequency_Substation_01,,,,,,,,,,
3,Frequency_Substation_02,,,,,,,,,,
3,Frequency_Substation_03,,,,,,,,,,
3,Frequency_Substation_04,,,,,,,,,,
3,Frequency_Substation_05,,,,,,,,,,
3,Frequency_Substation_06,,,,,,,,,,
3,Frequency_Substation_07,,,,,,,,,,
3,Frequency_Substation_08,,,,,,,,,,
3,Frequency_Substation_09,,,,,,,,,,
3,Frequency_Substation_10,,,,,,,,,,
4,Frequency_Substation_01,,,,,,,,,,
4,Frequency_Substation_02,,,,,,,,,,
4,Frequency_Substation_03,,,,,,,,,,
4,Frequency_Substation_04,,,,,,,,,,
4,Frequency_Substation_05,,,,,,,,,,
4,Frequency_Substation_06,,,,,,,,,,
4,Frequency_Substation_07,,,,,,,,,,
4,Frequency_Substation_08,,,,,,,,,,
4,Frequency_Substation_09,,,,,,,,,,
4,Frequency_Substation_10,,,,,,,,,,
5,Frequency_Substation_01,,,,,,,,,,
5,Frequency_Substation_02,,,,,,,,,,
5,Frequency_Substation_03,,,,,,,,,,
5,Frequency_Substation_04,,,,,,,,,,
5,Frequency_Substation_05,,,,,,,,,,
5,Frequency_Substation_06,,,,,,,,,,
5,Frequency_Substation_07,,,,,,,,,,
5,Frequency_Substation_08,,,,,,,,,,
5,Frequency_Substation_09,,,,,,,,,,
5,Frequency_Substation_10,,,,,,,,,,
6,Frequency_Substation_01,,,,,,,,,,
6,Frequency_Substation_02,,,,,,,,,,
6,Frequency_Substation_03,,,,,,,,,,
6,Frequency_Substation_04,,,,,,,,,,
6,Frequency_Substation_05,,,,,,,,,,
6,Frequency_Substation_06,,,,,,,,,,
6,Frequency_Substation_07,,,,,,,,,,
6,Frequency_Substation_08,,,,,,,,,,
6,Frequency_Substation_09,,,,,,,,,,
6,Frequency_Substation_10,,,,,,,,,,
7,Frequency_Substation_01,,,,,,,,,,
7,Frequency_Substation_02,,,,,,,,,,
7,Frequency_Substation_03,,,,,,,,,,
7,Frequency_Substation_04,,,,,,,,,,
7,Frequency_Substation_05,,,,,,,,,,
7,Frequency_Substation_06,,,,,,,,,,
7,Frequency_Substation_07,,,,,,,,,,
7,Frequency_Substation_08,,,,,,,,,,
7,Frequency_Substation_09,,,,,,,,,,
7,Frequency_Substation_10,,,,,,,,,,
8,Frequency_Substation_01,,,,,,,,,,
8,Frequency_Substation_02,,,,,,,,,,
8,Frequency_Substation_03,,,,,,,,,,
8,Frequency_Substation_04,,,,,,,,,,
8,Frequency_Substation_05,,,,,,,,,,
8,Frequency_Substation_06,,,,,,,,,,
8,Frequency_Substation_07,,,,,,,,,,
8,Frequency_Substation_08,,,,,,,,,,
8,Frequency_Substation_09,,,,,,,,,,
8,Frequency_Substation_10,,,,,,,,,,
9,Frequency_Substation_01,,,,,,,,,,
9,Frequency_Substation_02,,,,,,,,,,
9,Frequency_Substation_03,,,,,,,,,,
9,Frequency_Substation_04,,,,,,,,,,
9,Frequency_Substation_05,,,,,,,,,,
9,Frequency_Substation_06,,,,,,,,,,
9,Frequency_Substation_07,,,,,,,,,,
9,Frequency_Substation_08,,,,,,,,,,
9,Frequency_Substation_09,,,,,,,,,,
9,Frequency_Substation_10,,,,,,,,,,
10,Frequency_Substation_01,,,,,,,,,,
10,Frequency_Substation_02,,,,,,,,,,
10,Frequency_Substation_03,,,,,,,,,,
10,Frequency_Substation_04,,,,,,,,,,
10,Frequency_Substation_05,,,,,,,,,,
10,Frequency_Substation_06,,,,,,,,,,
10,Frequency_Substation_07,,,,,,,,,,
10,Frequency_Substation_08,,,,,,,,,,
10,Frequency_Substation_09,,,,,,,,,,
10,Frequency_Substation_10,,,,,,,,,,
11,Frequency_Substation_01,,,,,,,,,,
11,Frequency_Substation_02,,,,,,,,,,
11,Frequency_Substation_03,,,,,,,,,,
11,Frequency_Substation_04,,,,,,,,,,
11,Frequency_Substation_05,,,,,,,,,,
11,Frequency_Substation_06,,,,,,,,,,
11,Frequency_Substation_07,,,,,,,,,,
11,Frequency_Substation_08,,,,,,,,,,
11,Frequency_Substation_09,,,,,,,,,,
11,Frequency_Substation_10,,,,,,,,,,
12,Frequency_Substation_01,,,,,,,,,,
12,Frequency_Substation_02,,,,,,,,,,
12,Frequency_Substation_03,,,,,,,,,,
12,Frequency_Substation_04,,,,,,,,,,
12,Frequency_Substation_05,,,,,,,,,,
12,Frequency_Substation_06,,,,,,,,,,
12,Frequency_Substation_07,,,,,,,,,,
12,Frequency_Substation_08,,,,,,,,,,
12,Frequency_Substation_09,,,,,,,,,,
12,Frequency_Substation_10,,,,,,,,,,
13,Frequency_Substation_01,,,,,,,,,,
13,Frequency_Substation_02,,,,,,,,,,
13,Frequency_Substation_03,,,,,,,,,,
13,Frequency_Substation_04,,,,,,,,,,
13,Frequency_Substation_05,,,,,,,,,,
13,Frequency_Substation_06,,,,,,,,,,
13,Frequency_Substation_07,,,,,,,,,,
13,Frequency_Substation_08,,,,,,,,,,
13,Frequency_Substation_09,,,,,,,,,,
13,Frequency_Substation_10,,,,,,,,,,
14,Frequency_Substation_01,,,,,,,,,,
14,Frequency_Substation_02,,,,,,,,,,
14,Frequency_Substation_03,,,,,,,,,,
14,Frequency_Substation_04,,,,,,,,,,
14,Frequency_Substation_05,,,,,,,,,,
14,Frequency_Substation_06,,,,,,,,,,
14,Frequency_Substation_07,,,,,,,,,,
14,Frequency_Substation_08,,,,,,,,,,
14,Frequency_Substation_09,,,,,,,,,,
14,Frequency_Substation_10,,,,,,,,,,
15,Frequency_Substation_01,,,,,,,,,,
15,Frequency_Substation_02,,,,,,,,,,
15,Frequency_Substation_03,,,,,,,,,,
15,Frequency_Substation_04,,,,,,,,,,
15,Frequency_Substation_05,,,,,,,,,,
15,Frequency_Substation_06,,,,,,,,,,
15,Frequency_Substation_07,,,,,,,,,,
15,Frequency_Substation_08,,,,,,,,,,
15,Frequency_Substation_09,,,,,,,,,,
15,Frequency_Substation_10,,,,,,,,,,
16,Frequency_Substation_01,,,,,,,,,,
16,Frequency_Substation_02,,,,,,,,,,
16,Frequency_Substation_03,,,,,,,,,,
16,Frequency_Substation_04,,,,,,,,,,
16,Frequency_Substation_05,,,,,,,,,,
16,Frequency_Substation_06,,,,,,,,,,
16,Frequency_Substation_07,,,,,,,,,,
16,Frequency_Substation_08,,,,,,,,,,
16,Frequency_Substation_09,,,,,,,,,,
16,Frequency_Substation_10,,,,,,,,,,
17,Frequency_Substation_01,,,,,,,,,,
